,Date,Total Recovered,Total Deaths
32,"""16 April """,1767,449
33,"""17 April """,2040,487
34,"""18 April """,2466,522
35,"""19 April """,2854,560
36,"""20 April """,3273,593
37,"""21 April """,3976,646
38,"""22 April """,4370,682
39,"""23 April """,5012,722
40,"""24 April """,5496,781
41,"""25 April """,5938,825
42,"""26 April """,6523,881
43,"""27 April """,7103,939
44,"""28 April """,7739,1008
45,"""29 April """,8429,1079
46,"""30 April """,9059,1154
47,"""01 May """,10021,1231
48,"""02 May """,10852,1323
90,"""03 May """,11763,1463
50,"""04 May """,12845,1566
51,"""05 May """,14140,1694
52,"""06 May """,15331,1785
53,"""07 May """,16776,1889
54,"""08 May """,17887,1985
55,"""09 May """,19301,2101
56,"""10 May """,20969,2212
57,"""11 May """,22549,2294
58,"""12 May """,24420,2414
59,"""13 May """,26417,2551
60,"""14 May """,27981,2648
61,"""15 May """,30245,2752
62,"""16 May """,34257,2871
63,"""17 May """,36795,3024
64,"""18 May """,39277,3155
65,"""19 May """,42309,3301
66,"""20 May """,45422,3435
67,"""21 May """,48553,3583
68,"""22 May """,51833,3725
69,"""23 May """,54409,3867
